"ID","MB","MGE","IOA","Var","Type","LON","LAT","IOA_cut"
"PE114023",-0.01,1.22,0.59,"Tmin","Available data",-74.1315972222222,-14.699275,".5 - .6"
"PE114030",0.22,1.59,0.57,"Tmin","Available data",-72.0877388888889,-14.3987805555556,".5 - .6"
"PE114030",0.2,1.1,0.64,"Tmax","Available data",-72.0877388888889,-14.3987805555556,".6 - .7"
"PE114032",0.16,0.8,0.71,"Tmax","Available data",-71.43075,-14.8029166666667,".7 - .8"
"PE114032",0.14,1.48,0.69,"Tmin","Available data",-71.43075,-14.8029166666667,".6 - .7"
"PE114033",0.21,1.34,0.64,"Tmin","Available data",-71.2366944444444,-14.2373611111111,".6 - .7"
"PE114033",0.18,0.85,0.71,"Tmax","Available data",-71.2366944444444,-14.2373611111111,".7 - .8"
"PE114034",0.25,1.17,0.72,"Tmin","Available data",-70.8805277777778,-14.9528611111111,".7 - .8"
"PE114034",0.24,0.85,0.71,"Tmax","Available data",-70.8805277777778,-14.9528611111111,".7 - .8"
"PE114035",-0.25,1.48,0.54,"Tmax","10-years data",-70.7156944444445,-14.7847777777778,".5 - .6"
"PE114035",-0.05,1.12,0.65,"Tmax","Available data",-70.7156944444445,-14.7847777777778,".6 - .7"
"PE114035",-0.05,1.64,0.66,"Tmin","Available data",-70.7156944444445,-14.7847777777778,".6 - .7"
"PE114035",-0.2,2.31,0.54,"Tmin","10-years data",-70.7156944444445,-14.7847777777778,".5 - .6"
"PE114038",-0.04,1.4,0.66,"Tmin","Available data",-70.5931111111111,-14.8718611111111,".6 - .7"
"PE114038",0.03,1,0.69,"Tmax","Available data",-70.5931111111111,-14.8718611111111,".6 - .7"
"PE114038",-0.09,2.19,0.48,"Tmin","10-years data",-70.5931111111111,-14.8718611111111,"< .5"
"PE114038",-0.45,1.42,0.54,"Tmax","10-years data",-70.5931111111111,-14.8718611111111,".5 - .6"
"PE114039",0.27,1.04,0.64,"Tmax","Available data",-70.4220555555556,-14.06675,".6 - .7"
"PE114039",0.27,1.63,0.58,"Tmin","Available data",-70.4220555555556,-14.06675,".5 - .6"
"PE114040",0.26,1.24,0.56,"Tmax","10-years data",-70.3678055555556,-14.6716944444444,".5 - .6"
"PE114040",0.01,1.16,0.61,"Tmin","Available data",-70.3678055555556,-14.6716944444444,".6 - .7"
"PE114040",0.03,0.95,0.66,"Tmax","Available data",-70.3678055555556,-14.6716944444444,".6 - .7"
"PE114040",-0.17,1.61,0.45,"Tmin","10-years data",-70.3678055555556,-14.6716944444444,"< .5"
"PE114041",-0.04,1.07,0.69,"Tmin","Available data",-70.1904722222222,-14.9171944444444,".6 - .7"
"PE114041",0.07,0.86,0.7,"Tmax","Available data",-70.1904722222222,-14.9171944444444,".7 - .8"
"PE114042",0.01,1.03,0.68,"Tmax","Available data",-69.9518055555556,-14.7669444444444,".6 - .7"
"PE114042",-0.07,1.47,0.5,"Tmin","10-years data",-69.9518055555556,-14.7669444444444,".5 - .6"
"PE114042",0.2,1.38,0.56,"Tmax","10-years data",-69.9518055555556,-14.7669444444444,".5 - .6"
"PE114042",0.02,1.09,0.63,"Tmin","Available data",-69.9518055555556,-14.7669444444444,".6 - .7"
"PE114043",-0.07,1.35,0.47,"Tmin","Available data",-69.152222,-14.22,"< .5"
"PE114043",-0.01,1.81,0.58,"Tmax","Available data",-69.152222,-14.22,".5 - .6"
"PE114046",0.23,0.83,0.69,"Tmin","Available data",-71.5725833333333,-14.0278055555556,".6 - .7"
"PE114046",0.34,0.71,0.74,"Tmax","Available data",-71.5725833333333,-14.0278055555556,".7 - .8"
"PE114050",0.35,1.07,0.6,"Tmax","Available data",-69.5345277777778,-14.6787222222222,".6 - .7"
"PE114050",0.06,1.13,0.52,"Tmin","Available data",-69.5345277777778,-14.6787222222222,".5 - .6"
"PE114058",0.22,0.89,0.6,"Tmax","Available data",-70.0259166666667,-14.3641944444444,".6 - .7"
"PE114058",0.28,1.64,0.63,"Tmin","Available data",-70.0259166666667,-14.3641944444444,".6 - .7"
"PE114066",0.23,0.89,0.66,"Tmax","Available data",-75.103975,-14.2373083333333,".6 - .7"
"PE114066",0.25,1.2,0.57,"Tmin","Available data",-75.103975,-14.2373083333333,".5 - .6"
"PE114093",0.04,1.16,0.71,"Tmin","Available data",-69.8756944444444,-14.921,".7 - .8"
"PE114093",0.52,0.93,0.67,"Tmax","Available data",-69.8756944444444,-14.921,".6 - .7"
"PE115015",0.07,1,0.62,"Tmax","Available data",-73.7794472222222,-15.0119444444444,".6 - .7"
"PE115015",0.06,1.17,0.56,"Tmin","Available data",-73.7794472222222,-15.0119444444444,".5 - .6"
"PE115018",0.01,1.41,0.52,"Tmin","Available data",-73.3625861111111,-15.7756805555556,".5 - .6"
"PE115018",0,0.76,0.71,"Tmax","Available data",-73.3625861111111,-15.7756805555556,".7 - .8"
"PE115019",0.02,1.18,0.59,"Tmax","Available data",-72.8932527777778,-15.2113361111111,".5 - .6"
"PE115019",0.12,0.95,0.59,"Tmin","Available data",-72.8932527777778,-15.2113361111111,".5 - .6"
"PE115021",0.17,0.84,0.68,"Tmin","Available data",-72.5668305555556,-15.7167222222222,".6 - .7"
"PE115021",0.2,0.65,0.72,"Tmax","Available data",-72.5668305555556,-15.7167222222222,".7 - .8"
"PE115023",-0.15,0.94,0.68,"Tmax","Available data",-71.6512333333333,-15.1825305555556,".6 - .7"
"PE115023",-0.31,1.24,0.7,"Tmin","Available data",-71.6512333333333,-15.1825305555556,".7 - .8"
"PE115024",-0.24,2.14,0.52,"Tmin","10-years data",-71.4569722222222,-15.4891944444444,".5 - .6"
"PE115024",0.07,1.02,0.69,"Tmax","Available data",-71.4569722222222,-15.4891944444444,".6 - .7"
"PE115024",-0.08,1.35,0.58,"Tmax","10-years data",-71.4569722222222,-15.4891944444444,".5 - .6"
"PE115024",0.02,1.49,0.67,"Tmin","Available data",-71.4569722222222,-15.4891944444444,".6 - .7"
"PE115025",0.27,0.98,0.7,"Tmax","Available data",-71.6016888888889,-15.6416277777778,".7 - .8"
"PE115025",0.25,0.9,0.68,"Tmin","Available data",-71.6016888888889,-15.6416277777778,".6 - .7"
"PE115027",0.29,1.27,0.71,"Tmin","Available data",-70.6757777777778,-15.4835277777778,".7 - .8"
"PE115027",0.28,0.91,0.72,"Tmax","Available data",-70.6757777777778,-15.4835277777778,".7 - .8"
"PE115029",-0.19,2.5,0.51,"Tmin","10-years data",-71.0906166666667,-15.8426555555556,".5 - .6"
"PE115029",0.01,1.74,0.66,"Tmin","Available data",-71.0906166666667,-15.8426555555556,".6 - .7"
"PE115029",0,0.99,0.68,"Tmax","Available data",-71.0906166666667,-15.8426555555556,".6 - .7"
"PE115029",0.13,1.28,0.57,"Tmax","10-years data",-71.0906166666667,-15.8426555555556,".5 - .6"
"PE115033",0.35,0.7,0.75,"Tmax","Available data",-70.3466083333333,-15.6391083333333,".7 - .8"
"PE115033",0.22,1.28,0.59,"Tmin","Available data",-70.3466083333333,-15.6391083333333,".5 - .6"
"PE115035",0.17,1.16,0.67,"Tmin","Available data",-70.1182222222222,-15.13625,".6 - .7"
"PE115035",-0.02,0.96,0.67,"Tmax","Available data",-70.1182222222222,-15.13625,".6 - .7"
"PE115037",0.29,1.52,0.58,"Tmin","10-years data",-69.7583055555556,-15.2068611111111,".5 - .6"
"PE115037",-0.03,0.73,0.72,"Tmax","Available data",-69.7583055555556,-15.2068611111111,".7 - .8"
"PE115037",0.02,1.1,0.68,"Tmin","Available data",-69.7583055555556,-15.2068611111111,".6 - .7"
"PE115037",0.09,0.97,0.64,"Tmax","10-years data",-69.7583055555556,-15.2068611111111,".6 - .7"
"PE115038",0.03,1.04,0.62,"Tmin","Available data",-69.4842777777778,-15.3882777777778,".6 - .7"
